implementation,count,mean_ns,p50_ns,p90_ns,p99_ns,min_ns,max_ns
BookBaseline,490000,5034.43,2053.91,22192.3,31269.6,20.0382,1.15988e+06
Book,490000,4177.31,1482.83,8556.3,29556.3,20.0382,2.5104e+06
Book+Logger,490000,4142.09,1492.84,7824.91,29796.8,20.0382,3.15696e+06
